Policy,GPE,LOC,ORG,FAC,MISC
Policy AG/LU-11: Agricultural employee housing shall be permitted in agricultural zoning districts in conformance with state law. Seasonal farm labor housing may be provided in agricultural areas without regard to the location of farm employment in Napa County when the housing is under local public agency ownership or control.,Napa County,,Policy AG/LU-11,,
"Policy AG/LU-12: No new non-agricultural use or development of a parcel located in an agricultural area shall be permitted unless it is needed for the agricultural use of the parcel, except as provided in Policies AG/LU-2, AG/LU-5, AG/LU-26, AG/LU-44, AG/LU-45, and ROS-1.",ROS-1,,"Policy AG/LU-12, Policies AG, AG, AG/LU-26,, AG/LU-44, AG",,
"Policy AG/LU-13: The 1990 Winery Definition Ordinance, recognized certain pre-existing wineries and winery uses as well as new wineries. For wineries approved after the effective date of that ordinance, agricultural processing includes tours and tastings by appointment only, retail sales of wine produced by or for the winery partially or totally from Napa County grapes, retail sale of wine-related items, activities for the education and development of consumers and members of the wine trade with respect to wine produced by or at the winery, and limited non-commercial food service. The later activity may include wine- food pairings. All tours and tastings, retail sales, marketing activities, and non- commercial food service must be accessory to the principal use of the facility as an agricultural processing facility. Nothing in this policy shall alter the definition of “agriculture” set forth in Policy AG/LU-2. Napa County General Plan June 04, 2013 AG/LU–14","Napa County, Napa County",,"Policy AG/LU-13, Policy AG, AG",,
"Policy AG/LU-14: The same location, design, and other considerations applied to wineries shall apply to all other food processing businesses or industrial uses located in agricultural areas.",,,Policy AG/LU-14:,,
"Policy AG/LU-15: The County affirms and shall protect the right of agricultural operators in designated agricultural areas to commence and continue their agricultural practices (a “right to farm”), even though established urban uses in the general area may foster complaints against those agricultural practices. The “right to farm” shall encompass the processing of agricultural products and other activities inherent in the definition of agriculture provided in Policy AG/LU-2, above. The existence of this “Right to Farm” policy shall be indicated on all parcel maps approved for locations in or adjacent to designated agricultural areas and shall be a required disclosure to buyers of property in Napa County. Policy AG/LU-15.5: Where proposed residential, commercial or industrial development abuts lands devoted to agriculture production, the non-agricultural uses shall be required to incorporate buffer areas to mitigate potential land use conflicts as conditions of approval for subdivision or use permit. The type and width of buffer areas shall be determined based on the character, intensity and sensitivity of the abutting land uses. Action Item AG/LU-15.5.1: The County will prepare and adopt guidelines and regulations to assist in the determination of the appropriate type and scope of agricultural buffer areas needed in circumstances that warrant the creation of such buffer.",Napa County,,"Policy AG/LU-15, Policy AG, AG",,
"Policy AG/LU-16: In recognition of their limited impacts, the County will consider affording small wineries a streamlined permitting process. For purposes of this policy, small wineries are those that produce a small quantity of wine using grapes mostly grown on site and host a limited number of small marketing events each year. Action Item AG/LU-16.1: Consider amendments to the Zoning Ordinance defining “small wineries,” a “small quantity of wine,” “small marketing events,” and “mostly grown on site,” and establishing a streamlined permitting process for small wineries which retains the requirement for a use permit when the winery is in proximity to urban areas.",,,"Policy AG/LU-16, Zoning Ordinance",,
"Policy AG/LU-17: The County encourages active, sustainable forest management practices, including timely harvesting to preserve existing forests, retaining their health, product, and value. The County also encourages timber plantations for fuel wood and lumber production. (For more policies related to the managed production of resources and forest management practices, please see the Conservation Element.)",,,Policy AG/LU-17:,,
Policy AG/LU-18: Timber production areas in the County shall be considered to be those defined in the most recent adopted mapping available from CAL FIRE unless local areas are defined through a public planning process.,,,"Policy AG/, CAL FIRE",,
"Policy AG/LU-19: The County recognizes that increasing local food production in Napa County and increasing local food purchases by County residents and institutions such as the jail, June 04, 2013 Napa County General Plan AG/LU–15",Napa County,,"Policy AG, Napa County General Plan AG",,
"Policy AG/LU-20: The following standards shall apply to lands designated as Agriculture, Watershed, and Open Space on the Land Use Map of this General Plan. Intent: To provide areas where the predominant use is agriculturally oriented; where watersheds are protected and enhanced; where reservoirs, floodplain tributaries, geologic hazards, soil conditions, and other constraints make the land relatively unsuitable for urban development; where urban development would adversely impact all such uses; and where the protection of agriculture, watersheds, and floodplain tributaries from fire, pollution, and erosion is essential to the general health, safety, and welfare. General Uses: Agriculture, processing of agricultural products, single-family dwellings. Minimum Parcel Size: 160 acres, except that parcels with a minimum size of 2 acres may be created for the sole purpose of developing farm labor camps by a local government agency authorized to own or operate farm labor camps, so long as the division is accomplished by securing the written consent of a local government agency authorized to own or operate farm labor camps that it will accept a conveyance of the fee interest of the parcel to be created and thereafter conveying the fee interest of such parcel directly to said local government agency, or entering into a long-term lease of such parcels directly with said local government agency. Every lease or deed creating such parcels must contain language ensuring that if the parcel is not used as a farm labor camp within three years of the conveyance or lease being executed or permanently ceases to be used as a farm labor camp by a local government agency authorized to develop farm labor camps, the parcel will automatically revert to, and merge into, the original parent parcel. Maximum Building Intensity: One dwelling per parcel (except as specified in the Housing Element). Nonresidential building intensity is non-applicable. Pursuant to Measure Z (1996), the sale to the public of agricultural produce, fruits, vegetables, and Christmas trees, grown on or off premises, and items related thereto, as well as the recreation and educational uses by children of animals, such as children’s pony rides and petting zoos, and construction of buildings to accommodate such sales and animals shall be permitted on any parcel designated as agricultural produce stand combination district. (See Policy AG/LU-132.) Policy AG/LU-20.5: New public safety facilities shall be located within existing urbanized (i.e. non- agricultural) areas of the County and the County shall require site-specific analysis of new public safety facilities prior to their construction.","Watershed, the County",,"Policy AG/LU-20, Maximum Building Intensity, the Housing Element, See Policy AG, AG",,
"Policy AG/LU-21: The following standards shall apply to lands designated as Agricultural Resource on the Land Use Map of this General Plan. Intent: To identify areas in the fertile valley and foothill areas of the county in which agriculture is and should continue to be the predominant land use, where uses Napa County General Plan June 04, 2013 AG/LU–16",,,"Policy AG, Agricultural Resource, Napa County General Plan, AG",,
"Policy AG/LU-22: Urban uses shall be concentrated in the incorporated cities and town and designated urbanized areas of the unincorporated County in order to preserve agriculture and open space, encourage transit-oriented development, conserve energy, and provide for healthy, “walkable” communities.",,,Policy AG/LU-22: Urban,,
"Policy AG/LU-23: Consistent with longstanding practice and “smart growth” principles, the County will enact and enforce regulations that will encourage the concentration of residential growth June 04, 2013 Napa County General Plan AG/LU–17",,,"Policy AG/LU-23: Consistent, Napa County General Plan AG",,
Policy AG/LU-24: Commercial uses will be grouped in areas outside of those designated for agricultural uses in the General Plan (subject to exceptions contained in Policies AG/LU-43 through 45 of this General Plan).,,,"Policy AG, Policies AG/LU-43",,
"Policy AG/LU-25: The County opposes the creation of new special districts planned to accommodate new residential developments outside existing urbanized areas, except as specified in the Housing Element or as permitted within the Napa Pipe Mixed Use designation.",,,"Policy AG/LU-25:, the Housing Element, the Napa Pipe Mixed",,
"Policy AG/LU-26: The County will discourage proposed urban developments which require urban services outside of existing urbanized areas. However, nothing in this Agricultural Preservation and Land Use Element is intended to preclude the construction of a single-family residence, on an existing, vacant, legal parcel of land in compliance with adopted County ordinances and other applicable regulations, except on designated park land. Pursuant to State law, small child care centers are considered residential uses. Where maximum dwelling unit densities are specified in this General Plan, the population density is determined by multiplying the allowable number of dwelling units times the average persons per household in the unincorporated County as determined by the most recent U.S. Census.",,,"Policy AG/LU-26: The County, U.S. Census",,
"Policy AG/LU-27: For the purposes of this General Plan, the terms “urbanized” or “urbanizing” shall include the subdivision, use, or development of any parcel of land for non-agricultural purposes. Engaging in nature-based recreation or agriculturally compatible uses that are permitted in the applicable zoning district without the issuance of a use permit, such as development of one single-family house and/or second unit on an existing legal lot, shall not be considered urbanizing.",,,Policy AG,,
"Policy AG/LU-28: Consistent with the County’s longstanding commitment to urban-centered growth, new multi-family housing and other urban uses shall be directed to the incorporated cities and town and urbanized areas of Napa County.",Napa County,,Policy AG/LU-28: Consistent,,
"Policy AG/LU-29: Governmental uses and public utility uses shall be permitted in appropriate locations. Only those new governmental and public utility uses which specifically implement programs mandated by the state or federal government shall be permitted in non-urban areas. On parcels which are designated Agricultural Resource or Agriculture, Watershed and Open Space on the Napa County Land Use Map, governmental uses and public utility uses existing as of 1983 shall be allowed to continue to operate and to use the existing buildings and/or facilities but shall be allowed to expand in size and volume of business only for the purpose of modernizing the facilities and meeting additional demonstrated public needs to the extent permitted by law. RESIDENTIAL LAND USES",,,"Policy AG, Agricultural Resource or Agriculture, the Napa County Land Use Map",,
"Policy AG/LU-30: The County shall use a variety of strategies to address its long-term housing needs and to meet the state and regional housing requirements in its cyclical updates of the Housing Element. In addition to working with the state and ABAG to reduce the County’s regional allocation, these strategies shall include: Napa County General Plan June 04, 2013 AG/LU–18",,,"Policy AG/LU-30, the Housing Element, Napa County General Plan, AG",,
"Policy AG/LU-31: The County will work with the cities and town to see that low and moderate cost housing is provided to address the needs of low and moderate income households in Napa County. In addition, the County will accept responsibility for meeting its fair share of the housing needs, including a predominant percentage generated by any new employment in unincorporated areas.",Napa County,,Policy AG/LU-31,,
"Policy AG/LU-32: The County will maintain and improve the safety and adequacy of the existing housing stock in the County through application of applicable building and housing codes and related enforcement programs. Note to the Reader: Please refer to the Housing Element of this General Plan for additional goals, policies, and programs related to affordable housing.",,,"Policy AG/LU-32:, the Housing Element",,
"Policy AG/LU-33: The County will promote development concepts that create flexibility, economy, and variety in housing without resulting in significant environmental impacts and without allowing residences to become timeshares, resorts, hotels, or similar tourist-type accommodations. June 04, 2013 Napa County General Plan AG/LU–19",,,"Policy AG/LU-33:, Napa County General Plan AG",,
"Policy AG/LU-34: The following standards shall apply to lands designated as Urban Residential on the Land Use Map of this General Plan. Intent: Provide, in identified urban areas, for development of a full range of urban housing opportunities, such as detached or attached single-family dwellings, multiple dwellings, townhouses, row houses, condominiums, live/work lofts, and cluster housing, in a desirable relationship to planned common use space, limited commercial, institutional, educational, child care, cultural, recreational, and other uses, while at the same time preserving the quality of urban areas. General Uses: Single-family dwellings, multiple dwellings, mobile home parks, child care centers, limited commercial and institutional uses (denser uses subject to specified conditions). Minimum Parcel Size: Between 0.0625 acre and 1 acre. Maximum Dwelling Density: One dwelling per parcel except as specified in the Housing Element. Other residential, commercial, educational, and recreational facilities subject to specified conditions related to the adequacy of utilities and normal municipal services.",,,"Policy AG, the Housing Element",,
"Policy AG/LU-35: The following standards shall apply to lands designated as Rural Residential on the Land Use Map of this General Plan. Intent: Provide for low density residential use in neighborhoods that are in proximity to existing urbanized areas but that are currently in agriculture or where further parcelization will be discouraged. On some lands suitable for increased population density near major medical care facilities, large residential care homes may be permitted. Other land near major public recreational areas which, because of its location in relation to existing or future community services, facilities, and access roads, and because of underlying soil and geological characteristics, land slope, and minimum fire hazard, is suitable for low density residential or mixed-use development, tourist-serving commercial development, and resident-serving commercial development. General Uses: Single-family dwellings, day care centers, large residential care homes, existing major medical care facilities (facilities licensed with a minimum of 100 beds), private schools, agriculture, stables (and others under specified conditions). In Capell Valley and Berryessa Areas, tourist-serving commercial uses and mixed uses will also be allowed. Minimum Parcel Size: 10 acres, except: Napa County General Plan June 04, 2013 AG/LU–20",Capell Valley,,"Policy AG/, Napa County General Plan, AG",,
Policy AG/LU-36: The central business district of each urban center will be recognized as the dominant commercial and financial center for the surrounding trade area.,,,Policy AG/LU-36,,
"Policy AG/LU-37: The County will locate industrial areas adjacent to major transportation facilities. Necessary utilities and services, including child care centers, will be planned to meet the needs of the industrially zoned areas.",,,Policy AG/LU-37:,,
"Policy AG/LU-38: The Airport Industrial Area Specific Plan (AIASP) was adopted in 1986 to set forth detailed land use and circulation standards, capital improvement requirements, associated financing, and improvement sequencing measures, as well as necessary supporting policies and regulatory procedures for the industrial area near Napa County Airport. The AIASP, as amended, implements the General Plan in the Airport Industrial Area.",Napa County Airport,,"Policy AG/LU-38, AIASP, AIASP","The Airport Industrial Area Specific Plan, the Airport Industrial Area",
"Policy AG/LU-39: The County will plan for the reservation of sufficient industrial property to satisfy future demands for orderly growth and economic development of the County. Non- agriculturally oriented industry shall not be located on productive agricultural lands, but should be located in areas more suitable for industrial purposes.",,,Policy AG/LU-39: The County,,
"Policy AG/LU-40: The properties known as the “Hess Vineyards” shall be designated Agriculture, Watershed & Open Space, but shall be considered for redesignation to an Industrial designation if Flosden/Newell Road is ever extended north of Green Island Road, through the property.",,Green Island Road,"Policy AG/LU-40, the “Hess Vineyards, Agriculture, Watershed & Open Space, Flosden/Newell Road",,
"Policy AG/LU-41: Notwithstanding any other standard to the contrary, the following standards shall apply to lands designated as Napa Pipe Mixed Use on the Land Use Map of this General Plan. Lands designated Napa Pipe Mixed Use are identified as Assessor’s Parcel Numbers 046-400-030 and 046-412-005, with the exception of a 19 acre area within Assessor's Parcel Number 046-400-030, which is designated Study Area. a) Intent: The designation provides for flexibility in the development of land, allowing either industrial, or commercial and residential uses. This designation is intended to be applied only to the Napa Pipe site in the unincorporated area June 04, 2013 Napa County General Plan AG/LU–21",,Study Area,"Policy AG/LU-41, Napa Pipe Mixed, Assessor’s Parcel Numbers, Assessor's Parcel, the Napa Pipe, Napa County General Plan AG",,
Policy AG/LU-42: County review of non-residential development proposals shall address the balance of job creation and the availability of affordable housing.,,,Policy AG/LU-42: County,,
"Policy AG/LU-43: Lands along the west bank of the Napa River south of the City of Napa and specific urban areas within four miles of the high water mark of Lake Berryessa are appropriate areas for marine commercial zoning and development. Action Item AG/LU 43.1: Consider amendments to the Zoning Code to allow additional commercial, residential, and mixed uses in the areas currently zoned for commercial use in the Spanish Flat, Moskowite Corners, and southern Pope Creek areas in order to complement recreation activities at Lake Berryessa.","the west bank, the City of Napa, Lake Berryessa, Pope Creek","Napa River, Moskowite Corners",Policy AG/LU-43: Lands,Lake Berryessa,
"Policy AG/LU-44: For parcels fronting upon the west side of the Napa River south of the City of Napa which are designated Agriculture, Watershed, and Open Space or Agricultural Resource on the Land Use Map of this General Plan which have commercial zoning, additional commercial development will be allowed as follows:  All existing commercial establishments that are currently located within a commercial zoning district shall be allowed to continue to operate and use the existing buildings and/or facilities.  Additional commercial uses which are permitted by the existing commercial zoning of the parcel shall be permitted on that portion of the parcel zoned commercial.","the City of Napa, Watershed",Napa River,Policy AG/LU-44,,
"Policy AG/LU-45: All existing commercial establishments that are currently located within a commercial zoning district shall be allowed to continue to operate and use the existing buildings and/or facilities. Additional commercial uses and mixed residential-commercial uses which are permitted by the existing commercial zoning of the parcel shall be permitted on that portion of the parcel zoned commercial. With respect to Policies AG/LU-44 and 45, due to the small numbers of such parcels, their limited capacity for commercially-viable agriculture due to pre-existing uses and/or size, location and lot configuration, and the minimal impact such commercial operations and expansions will have on adjacent agriculture or open space activities or the agricultural and open space character of the surrounding area, such limited development will not be detrimental to Agriculture, Watershed or Open Space policies of the General Plan. Therefore such development is consistent with all of the goals and policies of the General Plan. Pursuant to Measure D (1998), existing restaurants qualifying under this policy that are currently located within a commercial zoning district shall be allowed to increase the number of seats accommodated within existing buildings and/or facilities on any parcel designated as a historic restaurant combination zoning district. Due to the small number of such restaurants, limited seating expansions within existing commercial buildings and facilities will not be detrimental to the Agricultural, Watershed and Open Space policies of the General Plan. (See Policy AG/LU-133) Pursuant to Measure K (2008), a parcel which is zoned as an agricultural produce stand may be allowed to establish accessory delicatessen, outdoor barbeque and wine tasting uses. (See Policy AG/LU-136) Napa County General Plan June 04, 2013 AG/LU–24",Napa County,,"Policy AG/LU-45, Policies AG/LU-44, Agriculture, Agricultural, See Policy AG, See Policy AG, AG",,
"Policy AG/LU-46: All existing and legally established nonconforming uses shall be allowed to continue to operate and to use existing buildings and/or facilities provided they are not determined to be a public nuisance or voluntarily abandoned as defined by the zoning ordinance. Legal nonconforming buildings and facilities may be rehabilitated or rearranged, as long as there is no increase in the intensity of use.",,,Policy AG/LU-46,,
"Policy AG/LU-47: Legal structures and uses destroyed by fire or natural disaster may be rebuilt within the time period established by the zoning ordinance or as otherwise approved by the County, whether or not they conformed to the zoning ordinance at the time of the fire/disaster.",,,Policy AG/LU-47: Legal,,
"Policy AG/LU-48: In recognition of the limited services and employment opportunities available within rural areas, the County shall allow home occupations in circumstances where those occupations do not change the outward appearance of the home or impact surrounding residents or other land uses. Action Item AG/LU 48.1: Review zoning code requirements for Home Occupation permits, and update those requirements to provide greater flexibility in situations where there will be no off-site impacts. For example, consider situations in which the use of legal, accessory structures could be permitted or where home occupations could employ workers other than a single owner/proprietor.",the County,,"Policy AG/LU-48, Home Occupation",,
"Policy AG/LU-49: The County shall use zoning to ensure that land uses in airport approach zones comply with applicable Airport Land Use Compatibility policies. If necessary, the County shall acquire development rights in airport approach zones. This policy shall apply to the Napa County Airport and Angwin Airport (Parrett Field). Action Item AG/LU 49.1: Refer General Plan land use changes, proposed rezonings, and proposed developments in Airport Approach Zones to the Napa County Airport Land Use Commission for review and comment. June 04, 2013 Napa County General Plan AG/LU–25",Airport Approach Zones,,"Policy AG/LU-49:, the Napa County Airport, the Napa County Airport Land Use Commission, Napa County General Plan AG/LU–25",Parrett Field,
"Policy AG/LU-50: The following standards shall apply to lands designated as Commercial on the Land Use Map of this General Plan.4 Intent: 1) Provide areas where residents of the unincorporated area of the County may obtain commercial services for day-to-day needs in surrounding land uses. The area and location of such districts shall be determined largely by the urban nature and extent of the local trade area to be served. Other criteria which will figure significantly in the choice of parcels deemed suitable for classification include availability of public service, public utilities, traffic safety, character of the site and surrounding area. The central business district of each incorporated city shall be recognized as the dominant commercial and financial center for the surrounding unincorporated area of the County. 2) Provide areas consistent with the General Plan in which the principal use of land is devoted to general commercial uses in non-marine urban areas, limited commercial facilities essential to the needs of residents in residential neighborhood areas, limited commercial facilities oriented to the needs of recreational users in marine areas, and limited commercial facilities serving the needs of travelers in locations in proximity to primary transportation corridors which provide access to areas where tourist- oriented uses predominate. General Uses: Neighborhood, tourist, and other limited commercial uses; subject to specified conditions. Minimum Parcel Size: 1 acre; 1/2 acre where public water and sewer are available. Maximum Building Density: 50% coverage",,,"Policy AG, Maximum Building Density",,
"Policy AG/LU-51: The following standards shall apply to lands designated as Industrial on the Land Use Map of this General Plan. Intent: To provide an environment exclusively for and conducive to the development and protection of a variety of industrial uses such as warehouses, manufacturing, wineries and food processing facilities that are industrial in character, and research and development. Administrative facilities, research institutions, limited office and commercial uses and related facilities which are ancillary to the primary industrial uses may also be accommodated. General Uses: Industry, limited commercial and related facilities which are ancillary to the primary industrial uses, agriculture, wineries. No residential uses. Minimum Parcel Size: 1/2 acre to 40 acres depending on proximity and access to utilities, airport, highways, rail service and service roads. 4 Please note, the Land Use Map adopted with the 2008 General Plan Update does not designate lands as Commercial. Policies AG/LU-44 through 46 establish parameters (location and building intensity) for commercial uses. Napa County General Plan June 23, 2009 AG/LU–28",,,"Policy AG/LU-51, Napa County General Plan June 23, 2009, AG",,
"Policy AG/LU-52: The following standards shall apply to lands designated as Study Area on the Land Use Map of this General Plan. Intent: This designation allows industrial uses to continue pursuant to existing zoning, but signals the need for further site- or area-specific planning to assess the potential for a mix of uses in this area. The Study Area designation is intended to be applied only to the portion of the Napa Pipe site that is not designated Napa Pipe Mixed Use and to the Boca/Pacific Coast parcels in the unincorporated area south of the City of Napa, where sufficient infrastructure may be available to support mixed-use development. General Uses: All uses allowed in the Industrial land use category may be permitted. Minimum Parcel Size: Parcel sizes shall be as established for the Industrial designation. Maximum Building Density: Maximum building intensity shall be as established for the Industrial designation. PUBLIC-INSTITUTIONAL POLICIES",the City of Napa,"Study Area, Study Area","Policy AG/LU-52, the Napa Pipe, Napa Pipe Mixed, the Boca/Pacific Coast, Industrial, Industrial, Maximum Building Density",,
"Policy AG/LU-53: The following standards shall apply to lands designated as Public-Institutional on the Land Use Map of this General Plan. Intent: To indicate those lands set aside for those existing and future uses of a governmental, public use, or public utility nature such as a public hospital, public use airport, sanitation district facilities, government equipment yard, state or federal administrative offices, recycling-composting facilities, or any other facilities for which the determinations set forth, pertaining to criteria for eminent domain in the California Code of Civil Procedures Section 1245.230(c)(1) through (3), can be made.5 Consistent with Policy AG/LU-64, in Angwin, the intent of the Public-Institutional designation is to acknowledge the presence of Pacific Union College and lands appropriate for college uses and facilities consistent with Angwin’s rural character. Uses allowed include agriculture (including research), classrooms and other educational uses (including to serve pre-K, elementary and secondary students), meeting rooms, offices, maintenance and utility facilities, and residences for use by students, faculty and staff of the College, the Angwin Airport (Parrett Field) and limited commercial, community- service, medical, cultural, religious, recreational, and accessory uses essential to the needs of students, faculty or staff. 5 Determinations cited include: (1) The public interest and necessity require the proposed project. (2) The proposed project is planned or located in the manner that will be most compatible with the greatest public good and the least private injury. (3) The property described in the resolution is necessary for the proposed project. June 23, 2009 Napa County General Plan AG/LU–29",Angwin,,"Policy AG/LU-53, Public-Institutional, the Public-Institutional, Pacific Union College, pre-K, College, Napa County General Plan AG","the Angwin Airport, Parrett Field",
"Policy AG/LU-54: To the maximum extent permitted by law, casinos and gambling operations of any type are specifically prohibited in the unincorporated areas of Napa County. Policy AG/LU-54.5: Formula businesses are generally viewed as incompatible with Napa County’s rural character and shall be discouraged in areas adjacent to incorporated jurisdictions which limit such uses. Action Item AG/LU 54.5.1: Develop a definition of ‘formula businesses’ and amend County Code to ensure compatibility with ordinances related to this issue in Calistoga and St. Helena. Napa County General Plan June 23, 2009 AG/LU–30","Napa County, Napa County’s, Calistoga, St. Helena, Napa County",,"Policy AG/LU-54, AG, AG",,
Policy AG/LU-55: The County shall ensure that the special features in each geographic area shown in this General Plan shall be retained or enhanced and shall consider these features in its review of any proposed development project.,,,Policy AG/LU-55,,
"Policy AG/LU-56: The policies set forth for each geographic area are extensions or refinements of County- wide policy. The role of these local policies is to identify more specific land uses and local conditions within the general parameters established by the County-wide goals and policies. June 23, 2009 Napa County General Plan AG/LU–31",,,"Policy AG, Napa County General Plan AG",,
"Policy AG/LU-57: The County shall seek to maintain Angwin’s rural setting and character while providing opportunities for limited commercial services focused on the Angwin community. June 23, 2009 Napa County General Plan AG/LU–33",,,"Policy AG/LU-57:, Napa County General Plan AG",,
"Policy AG/LU-58: The “urbanized” area of Angwin shown on the County’s land use map and zoned Planned Development shall contain institutional uses (i.e., the college), residential uses, and limited neighborhood-serving non-residential uses. (Also see Policy AG/LU-53.)",,,"Policy AG, Planned Development, Policy AG/LU-53",,
Policy AG/LU-59: [Reserved],,,Policy AG,,
Policy AG/LU-60: The existing density of development in the Angwin area and the County’s desire to be protective of water quality precludes future subdivision activity based on septic tanks. Also the County shall encourage replacement of existing septic systems that may impact surface or ground water with sewer services or alternative wastewater treatment systems.,,,Policy AG/LU-60,,
Policy AG/LU-61: The existing density of development in the Angwin area and the County’s desire to be protective of groundwater supplies precludes future subdivision activity that relies on net increases in groundwater use within the Conn-Creek-Upper Reach Local Drainage.,,,Policy AG,the Conn-Creek-Upper Reach Local Drainage,
Policy AG/LU-62: [Reserved],,,Policy AG/LU-62,,
Policy AG/LU-63: The County recognizes the historical significance of Pacific Union College in the Angwin community and will continue to support this time-honored institution and employer in its educational mission.,,,"Policy AG/LU-63:, Pacific Union College",,
"Policy AG/LU-64: To maintain the rural atmosphere of the Angwin community, the County will not promote policies that encourage land uses that are incompatible with or out of character with the area, recognizing that a large part of the community’s character is derived from its wooded setting.",,,Policy AG/,,
"Policy AG/LU-65: The Angwin area should retain a variety of housing types to support residents, students, and employees of Pacific Union College and St. Helena Hospital.",,,"Policy AG/LU-65, Pacific Union College, St. Helena Hospital",,
"Policy AG/LU-66: The County supports the ongoing operation of Angwin Airport (Parrett Field), including any improvements approved by the Federal Aviation Administration within the AV zoning district.",,,"Policy AG/LU-66: The, the Federal Aviation Administration, AV","Angwin Airport, Parrett Field",
"Policy AG/LU-67: The County will continue to maintain a road network to service the needs of Angwin residents and provide accessibility to emergency vehicles. Napa County General Plan June 23, 2009 AG/LU–34",,,"Policy AG/LU-67: The County, Napa County General Plan June 23, 2009, AG",,
"Policy AG/LU-68: The County shall recognize the character of this community and the quality of the environment in the review of future development projects in the Berryessa Estates area. All new subdivisions, use permits, and other discretionary actions shall conform to the General Plan Land Use Map and be reviewed to determine impacts and mitigations related to water quality, water availability, habitat The Stagecoach Market in Berryessa Estates provides much-needed local protection, and other commercial services. environmental issues. Napa County General Plan June 23, 2009 AG/LU–36",,,"Policy AG/LU-68:, Berryessa Estates, Berryessa Estates, Napa County General Plan June 23, 2009, AG",,
"Policy AG/LU-69: Recognize the character of this community and the quality of the environment in the review of future development projects in the Berryessa Highlands area. All new subdivisions, use permits, and other discretionary actions shall conform to the General Plan Land Use Map and be reviewed to determine impacts and mitigations related to water quality, water availability, slope stability, habitat protection, and other environmental issues. Hillside homes typical of Berryessa Highlands. Many homes have",,,Policy AG/LU-69,,
"Policy AG/LU-70: The importance of views to views of Lake Berryessa. residents shall be considered in the review and approval of new development. Where possible, existing views— particularly of Lake Berryessa—should be preserved. Napa County General Plan June 23, 2009 AG/LU–38","Lake Berryessa, Lake Berryessa",,"Policy AG/, Napa County General Plan June 23, 2009",,
