page,type,id,text
35,DevStd,"DevStd EGV-4A: Development should be designed, configured, and sited to","DevStd EGV-4A: Development should be designed, configured, and sited to perpetuate and promote the sense of natural light and air, solar exposure, and privacy as characteristics of the community aesthetics."
35,DevStd,"DevStd EGV-4B: Development should be designed, configured, and sited to","DevStd EGV-4B: Development should be designed, configured, and sited to maximize compatibility with surrounding uses."
35,Policy,Policy EGV-4.2: Development shall be sited and designed to provide maximum,"Policy EGV-4.2: Development shall be sited and designed to provide maximum access to non-motor vehicle forms of transportation, including well-designed walkways, sidewalks, and paths and trails between residential development and adjacent and nearby commercial uses and employment centers wherever safe and feasible."
35,Objective,OBJECTIVE EGV-5: Enhance the Hollister Avenue – State Street commercial corridor to,"OBJECTIVE EGV-5: Enhance the Hollister Avenue – State Street commercial corridor to connect residential uses with services, goods, transit, and social, cultural, and/or civic areas."
35,Objective,OBJECTIVE EGV-6: Increase the production and availability of local food.,OBJECTIVE EGV-6: Increase the production and availability of local food.
35,Policy,OBJECTIVE EGV-6: Increase the production and availability of local food.,"Policy EGV-6.1: The establishment and maintenance of community gardens as components of public and private park development, and as potential improvements integrated with County Calle Real Administration Campus planning shall be encouraged (see also Section III: Public Services and Facilities)."
35,DevStd,DevStd EGV-6A: Community gardens should be considered ideally located in the,"DevStd EGV-6A: Community gardens should be considered ideally located in the Urban Area near transportation corridors, schools, and residential neighborhoods to increase accessibility and appeal."
35,Policy,Policy EGV-6.2: Local cultivation of edible products should be encouraged,Policy EGV-6.2: Local cultivation of edible products should be encouraged consistent with County codes.
35,Policy,Policy EGV-6.3: A permanent location for a certified farmers’ market to support,Policy EGV-6.3: A permanent location for a certified farmers’ market to support regional agriculture should be established.
36,Objective,"OBJECTIVE GV-7: Consider EGV as a unique community in its identity, but united with the","OBJECTIVE GV-7: Consider EGV as a unique community in its identity, but united with the South Coast of Santa Barbara County in the interest of well-coordinated regional planning."
36,Policy,"Policy EGV-7.1: The County shall continue to monitor, account for, and participate","Policy EGV-7.1: The County shall continue to monitor, account for, and participate as an interested agency in the land use and development decisions of the adjacent jurisdictions, including the City of Goleta, the City of Santa Barbara, and UCSB."
36,Policy,Policy EGV-7.2: The County shall work with the Cities of Goleta and Santa Barbara,Policy EGV-7.2: The County shall work with the Cities of Goleta and Santa Barbara to plan and develop interconnected regional transportation facilities to serve commuters and enhance access to multimodal transportation options.
45,Objective,"OBJECTIVE LUR-EGV-1: Provide a variety of housing locations, types, prices, and tenures to","OBJECTIVE LUR-EGV-1: Provide a variety of housing locations, types, prices, and tenures to ensure residential development meets local housing needs."
45,Policy,Policy LUR-EGV-1.1: Housing developed consistent with the Principles of Sustainable,Policy LUR-EGV-1.1: Housing developed consistent with the Principles of Sustainable Community Development to meet local housing needs shall be encouraged (see Section II.A: Planning Area Boundaries and Permitted Uses).
45,Policy,Policy LUR-EGV-1.2: The County shall continue to ensure that a range of housing types,Policy LUR-EGV-1.2: The County shall continue to ensure that a range of housing types is achieved in Eastern Goleta Valley that is sufficient to meet local housing needs.
45,Policy,"Policy LUR-EGV-1.3: Residential second units, duplexes, and residential units in mixed-","Policy LUR-EGV-1.3: Residential second units, duplexes, and residential units in mixed- use commercial development shall be encouraged as affordable housing types (see also, Section II.D: Commercial Land Uses)."
45,Policy,Policy LUR-EGV-1.4: Multifamily or mixed-use development plans shall be designed to,"Policy LUR-EGV-1.4: Multifamily or mixed-use development plans shall be designed to include a range of unit sizes and designs to maximize the affordability, flexibility, and appeal of the residential properties to meet local housing needs (See also, II.D: Commercial Land Uses and IV. F: Visual Resources)."
45,DevStd,DevStd LUR-EGV-1A: Residential components of mixed-use development shall be,"DevStd LUR-EGV-1A: Residential components of mixed-use development shall be designed to complement the character of adjacent neighborhoods, to provide high quality amenities for residents, and to provide access to services, infrastructure, and multimodal transportation facilities."
45,Policy,Policy LUR-EGV-1.5: In reviewing an affordable housing or bonus density residential,"Policy LUR-EGV-1.5: In reviewing an affordable housing or bonus density residential project, the County shall consider the project's effects on the character of the existing neighborhoods but shall mitigate any significant impacts only in compliance with State law."
45,Objective,"OBJECTIVE LUR-EGV-2: Locate residential neighborhoods near services, parks, and","OBJECTIVE LUR-EGV-2: Locate residential neighborhoods near services, parks, and transportation facilities to facilitate short commutes."
45,Policy,Policy LUR-EGV-2.1: The County-owned lands within the Urban Area should be,"Policy LUR-EGV-2.1: The County-owned lands within the Urban Area should be considered as potential locations for affordable housing, prioritizing units that are affordable and attractive to low-income households."
46,Policy,Policy LUR-EGV-2.2: Residential Neighborhood Development: Residential,"Policy LUR-EGV-2.2: Residential Neighborhood Development: Residential Neighborhood Developments are defined as residential subdivisions for ten (10) or more lots, and/or development plans for ten (10) or more units on residentially designated properties."
46,Policy,Policy LUR-EGV-2.3: Mixed-Use Neighborhood Development: Mixed-Use,"Policy LUR-EGV-2.3: Mixed-Use Neighborhood Development: Mixed-Use Neighborhood Developments combine commercial/retail uses and residential uses into the same area, property, or structure to accommodate and foster pedestrian usage. Residential components of Mixed-Use Neighborhood Development should: • Create a diverse and pedestrian-friendly neighborhood, with a mix of housing, shopping, workplace, and entertainment uses and nodes for transportation access, all within a short walk of each other."
47,Policy,Policy LUR-EGV-2.4: Residential and Mixed-Use Neighborhood Development should be,"Policy LUR-EGV-2.4: Residential and Mixed-Use Neighborhood Development should be considered ideally located: 1. Within walking distance (0.25 miles maximum) of commercial/service nodes and employment centers, schools, and/or parks and recreation facilities."
47,DevStd,DevStd LUR-EGV-2A: Residential and Mixed-Use Neighborhood Developments shall,DevStd LUR-EGV-2A: Residential and Mixed-Use Neighborhood Developments shall provide sufficient bicycle parking facilities that are secure and covered for use by residents and visitors.
47,Policy,Policy LUR-EGV-2.5: MTD and Tatum/School District: The MTD properties (APNs,"Policy LUR-EGV-2.5: MTD and Tatum/School District: The MTD properties (APNs 059-140-004, -005, -006), located at 4678 Calle Real/149 North San Antonio Road, and the Tatum/Santa Barbara School District property (APN 065-040-026), located at 4750 Hollister Avenue, shall receive land use designations appropriate for Residential Neighborhood Development. Consistent with this policy, the MTD properties shall be designated RES-0.33 (west portion, 6.8 acres) 38 Eastern Eastern Goleta Valley Community Plan"
48,Objective,"OBJECTIVE LUR-EGV-3: Enhance the physical structure, connectivity, and character of","OBJECTIVE LUR-EGV-3: Enhance the physical structure, connectivity, and character of existing residential neighborhoods of the community while optimizing areas designated for agriculture, areas for conservation of the natural environment, and public open spaces."
48,Policy,Policy LUR-EGV-3.1: Residential and mixed-use development shall be compatible with,"Policy LUR-EGV-3.1: Residential and mixed-use development shall be compatible with existing neighborhoods, particularly as to architectural and urban design, character and function of local transportation facilities, and protection and enhancement of agricultural operations and natural resources."
50,Policy,Policy LUDS-EGV-1.1: With the exception of the County owned parcel (APN 065-320-,"Policy LUDS-EGV-1.1: With the exception of the County owned parcel (APN 065-320- 004) which shall be designated Open Lands and zoned Resource Management (RES), the More Mesa properties (APN 065-320-001, 002, 007 through 010) shall be designated PD-70 and zoned PRD- 70 and shall comply with the following development standards for any proposed development on the site:"
50,DevStd,Policy LUDS-EGV-1.1: With the exception of the County owned parcel (APN 065-320-,"DevStd LUDS-EGV-1A: No applications for development shall be accepted prior to approval of a Specific Plan for the entire site. A Specific Plan shall be prepared for the entire site (currently including APNs 065-320- 001, 002, 007 through 010) which incorporates all of the conditions listed below and conforms to all other policies of the land use plan. ESH buffers for the site shall be established as part of the Specific Plan. The specific plan shall show the location of roads and structures and indicate the amount and location of open space for habitat preservation and public recreation. Any parcels within the More Mesa site purchased subsequent to the adoption of this Community Plan by the County or other public/private agencies for the purposes of resource/open space protection shall be excluded from the boundaries of the Specific Plan. All new development shall be confined to the eastern side of the site within the area designated as developable in Figure 13 of the Community Plan and outside of buffer areas, with the exception of minor public improvements such as trails, signs and restrooms. Higher density development shall be clustered toward the north end of the developable area, with lower density development toward the south."
52,DevStd,DevStd LUDS-EGV-1B: Prior to accepting any increase in the developable area depicted,"DevStd LUDS-EGV-1B: Prior to accepting any increase in the developable area depicted on Figure 13, or any increase in the number of allowable units over 70 to 100, the County Planning and Development Department (P&D), in consultation with the site's property owner, the State Department of Fish and Wildlife and California Coastal Commission, shall prepare a new study on the site's biological sensitivity to review the extent of the environmentally sensitive habitat designation for the site, the extent of developable area relative to biological resources, and the site's relative importance to the related open lands within the Atascadero Creek ecosystem."
53,DevStd,DevStd LUDS-EGV-1C: Concurrent with the preparation of the environmental document,"DevStd LUDS-EGV-1C: Concurrent with the preparation of the environmental document for the Specific Plan for residential development on the site, the applicant shall fund the preparation of a habitat protection and management plan to be prepared under the direction of P&D in consultation with appropriate agencies. This plan shall provide recommendations on methods for the long-term management and enhancement of the site's open space and environmentally sensitive areas emphasizing programs to reduce or eliminate the impacts of the project on the site's ESH areas and sensitive species as identified through the environmental and development review process. Preparation of this plan shall be coordinated with and account for any similar efforts on adjacent parcels owned by public agencies or private organizations."
53,DevStd,DevStd LUDS-EGV-1D: A minimum of 20% of the site shall be dedicated to the County or,"DevStd LUDS-EGV-1D: A minimum of 20% of the site shall be dedicated to the County or another appropriate public agency and/or private organization to be set aside for public use. The majority of the dedicated area shall be located adjacent to and include the dry sandy beach, and shall include a minimum 100 foot undeveloped bluff top public open space area and should also include areas adjacent to public access from the nearest public road(s)."
53,DevStd,DevStd LUDS-EGV-1E: New development onsite shall be designed to accommodate,"DevStd LUDS-EGV-1E: New development onsite shall be designed to accommodate maximum public access to the site and beach with appropriate public improvements, consistent with protection of ESH areas, maintenance of reasonable privacy for new residents of the site and retention of the open undeveloped character of the site. All access improvements shall be coordinated with those on any adjacent County owned land or trails system. Such access and improvement, to be provided by the developer(s) of the site, shall include the following: 1. A minimum of one public access road sited and designed to minimize disruption of the site's natural features and aesthetic qualities. This road or another public road shall form the western perimeter of the developable area, in order to provide a clear delineation between future developed areas and open space."
54,DevStd,"DevStd LUDS-EGV-1F: Prior to issuance of a CDP, the applicant(s) shall file a","DevStd LUDS-EGV-1F: Prior to issuance of a CDP, the applicant(s) shall file a performance security with the County sufficient to cover the cost of all public improvements and mitigations described above, and the maintenance of such improvements for a period of at least 5 years."
54,DevStd,DevStd LUDS-EGV-1G: Development shall be clustered to minimize disruption of,"DevStd LUDS-EGV-1G: Development shall be clustered to minimize disruption of significant views from areas of high public use, and shall be located outside of all designated or potential Environmentally Sensitive Habitat areas."
54,DevStd,"DevStd LUDS-EGV-1H: All development on the site, including trails and roads, shall be","DevStd LUDS-EGV-1H: All development on the site, including trails and roads, shall be sited and designed to avoid areas used for nesting and roosting by the White-tailed kites and other sensitive species as identified by the More Mesa Habitat Study."
54,DevStd,"DevStd LUDS-EGV-1I: To the maximum extent feasible, vegetation consisting of drought","DevStd LUDS-EGV-1I: To the maximum extent feasible, vegetation consisting of drought tolerant native species shall be used to create buffers from ESH areas and to screen development from public use areas. New landscaping, especially in areas near or adjacent to ESH or wetlands, shall be designed to complement, enhance and restore native habitats onsite. A belt of native trees (e.g.: oaks, Sycamores, II. COMMUNITY DEVELOPMENT AND LAND USE 45 C. Residential Land Uses"
55,DevStd,DevStd LUDS-EGV-1J: Natural building materials and colors compatible with the,"DevStd LUDS-EGV-1J: Natural building materials and colors compatible with the surrounding terrain shall be used on exterior surfaces of all structures, including water tanks and fences. The applicant shall submit architectural drawings of the project for review and approval by the BAR, concurrently with the submittal of grading plans to P&D."
55,DevStd,DevStd LUDS-EGV-1K: Emergency access for the Fire Department shall be provided,DevStd LUDS-EGV-1K: Emergency access for the Fire Department shall be provided between development on this site and Via Roblada.
55,DevStd,DevStd LUDS-EGV-1L: All development shall be sited to preserve land use compatibility,"DevStd LUDS-EGV-1L: All development shall be sited to preserve land use compatibility between the clustered medium density development at More Mesa and the existing lower density development at adjacent Hope Ranch Park. Therefore, a landscaped buffer of a minimum of 50 feet shall be required between Hope Ranch Park and this clustered development in order to ensure required land use compatibility."
57,Policy,"Policy LUDS-EGV-2.1: The St. Vincent properties (APNs 059-130-014, 015) shall be","Policy LUDS-EGV-2.1: The St. Vincent properties (APNs 059-130-014, 015) shall be designated RES-1.0 and zoned DR-1 and shall comply with the following Development Standards for any proposed development on the site:"
57,DevStd,"Policy LUDS-EGV-2.1: The St. Vincent properties (APNs 059-130-014, 015) shall be","DevStd LUDS-EGV-2A: For planning purposes, the parcels that make up the St. Vincent properties shall be considered and planned as one development site. Residential density shall be calculated on the basis of the entire site. However, all dwelling units shall be located only on the portion of the site west of Via Chaparral (APN 059-130-015)."
57,DevStd,DevStd LUDS-EGV-2B: The portion of the site east of Via Chaparral (APN 059-130-014),DevStd LUDS-EGV-2B: The portion of the site east of Via Chaparral (APN 059-130-014) should be used to satisfy a portion of the open space requirements for the entire site.
57,DevStd,"DevStd LUDS-EGV-2C: Development of St. Vincent’s shall consider opportunities to site,","DevStd LUDS-EGV-2C: Development of St. Vincent’s shall consider opportunities to site, acquire, and implement public trails (see also, Section III.D: Parks, Recreations, Trails, and Open Space)."
57,DevStd,DevStd LUDS-EGV-2D: Development of the western parcel per DevStd LUDS-EGV-2A,"DevStd LUDS-EGV-2D: Development of the western parcel per DevStd LUDS-EGV-2A should include protection of the canyon area and coastal sage scrub habitats. (see also, IV. Environmental Resources and Constraints) 48 Eastern Eastern Goleta Valley Community Plan"
59,Objective,"OBJECTIVE LUC-EGV-1: Provide local mixed-use commercial services, employment and","OBJECTIVE LUC-EGV-1: Provide local mixed-use commercial services, employment and business opportunities with compatible residential uses."
59,Policy,Policy LUC-EGV-1.1: Mixed-use development on land designated for commercial use,Policy LUC-EGV-1.1: Mixed-use development on land designated for commercial use shall be encouraged.
59,Objective,OBJECTIVE GV-LUC-EGV-2: Promote and maintain a vibrant and diverse economy and,OBJECTIVE GV-LUC-EGV-2: Promote and maintain a vibrant and diverse economy and support local businesses.
59,Policy,Policy LUC-EGV-2.1: Commercial designations shall provide flexible spaces to,"Policy LUC-EGV-2.1: Commercial designations shall provide flexible spaces to accommodate local businesses, live-work accommodations, small- scale fabrication and compatible industry, and local commercial destination clusters within walking and biking distance to residential neighborhoods."
60,Policy,Policy LUC-EGV-2.2: The County shall provide for and encourage a range of uses in,Policy LUC-EGV-2.2: The County shall provide for and encourage a range of uses in commercial areas to facilitate the development of businesses which are innovative and provide for a sustainable economy.
60,Policy,Policy LUC-EGV-2.3: Commercial and economic development shall operate at a scale,Policy LUC-EGV-2.3: Commercial and economic development shall operate at a scale complementary to the residential neighborhood characteristics of Eastern Goleta Valley.
60,DevStd,DevStd LUC-EGV-2A: Commercial development shall provide secure bicycle parking in a,DevStd LUC-EGV-2A: Commercial development shall provide secure bicycle parking in a sufficient amount to serve both patrons and employees.
60,DevStd,"DevStd LUC-EGV-2B: Commercial development shall be designed to be human-scale,","DevStd LUC-EGV-2B: Commercial development shall be designed to be human-scale, visually pleasing, and create pleasant outdoor conditions where feasible to encourage walking to and within the development."
60,Policy,Policy LUC-EGV-2.4: Commercial and economic vitality along the Hollister Avenue –,Policy LUC-EGV-2.4: Commercial and economic vitality along the Hollister Avenue – State Street commercial corridor shall be maintained and encouraged.
60,Policy,Policy LUC-EGV-2.5: Any proposal to redevelop the Turnpike Center should strive to,"Policy LUC-EGV-2.5: Any proposal to redevelop the Turnpike Center should strive to create a mixed-use commercial node that serves the needs of the community for centrally-located goods/services and a community meeting place, prioritizing an open-air plaza design and layout, pedestrian and bicycle-friendly access, outdoor social spaces, ample tree canopy, and appropriate and well-designed circulation and parking supply."
60,Policy,Policy LUC-EGV-2.6: Commercial uses shall be encouraged within employment centers,Policy LUC-EGV-2.6: Commercial uses shall be encouraged within employment centers appropriately to provide basic food and shopping amenities to employees in close proximity to their workplace.
60,Policy,Policy LUC-EGV-2.7: Local amenities and services should be developed to conveniently,Policy LUC-EGV-2.7: Local amenities and services should be developed to conveniently serve any commercial and/or institutional facilities developed at corner of Foothill Road and State Route 154.
63,Objective,"OBJECTIVE LUA-EGV-1: Sustain and enhance agricultural land, operations, and","OBJECTIVE LUA-EGV-1: Sustain and enhance agricultural land, operations, and characteristics in Eastern Goleta Valley."
63,Policy,"Policy LUA-EGV-1.1: Agricultural resources, agricultural land uses and operations, and","Policy LUA-EGV-1.1: Agricultural resources, agricultural land uses and operations, and distinctive urban and rural agricultural characteristics shall be preserved to the greatest extent feasible."
65,DevStd,DevStd LUA-EGV-1A: In the Rural Area and where agricultural resources are present in,"DevStd LUA-EGV-1A: In the Rural Area and where agricultural resources are present in the Urban Area, urban land uses shall not partition or interrupt contiguous blocks of agriculturally-designated lands to the greatest extent feasible."
65,Policy,Policy LUA-EGV-1.2: Non-agricultural development adjacent to agriculturally-designated,"Policy LUA-EGV-1.2: Non-agricultural development adjacent to agriculturally-designated property shall include buffers to protect agricultural land, operations, and characteristics."
65,DevStd,DevStd LUA-EGV-1B: Buffers separating non-agricultural development from agricultural,"DevStd LUA-EGV-1B: Buffers separating non-agricultural development from agricultural land and/or operations shall be established, maintained, and enforced. Appropriate buffers, as determined by the Planning and Development Department, shall be required for non-agricultural land uses adjacent to active agricultural operations and/or agriculturally-designated property."
65,DevStd,DevStd LUA-EGV-1C: Greenbelt buffers composed of predominantly native and drought,"DevStd LUA-EGV-1C: Greenbelt buffers composed of predominantly native and drought tolerant species, or other appropriate perimeter screening, such as compatible and attractive fences and walls and, if appropriate, orchard and food-producing plants should be established and included within the landscape plans for non-agricultural land uses adjacent to agriculturally-designated property or property in active production."
65,Policy,Policy LUA-EGV-1.3: (INLAND) Atascadero and Maria Ygnacio Creeks shall be,"Policy LUA-EGV-1.3: (INLAND) Atascadero and Maria Ygnacio Creeks shall be maintained appropriately to serve as buffers between agricultural areas, recreational uses and adjacent commercial, industrial and residential uses."
65,Policy,Policy LUA-EGV-1.4: Rural Agricultural and Mountainous Land Uses: Rural,Policy LUA-EGV-1.4: Rural Agricultural and Mountainous Land Uses: Rural agriculture and mountainous land use designations shall be maintained in the Rural Area. Agricultural and mountainous land in the Rural Area shall be protected from encroachment by urban land uses.
65,Policy,Policy LUA-EGV-1.5: Urban Agricultural Land Uses: Agricultural land within the,Policy LUA-EGV-1.5: Urban Agricultural Land Uses: Agricultural land within the Urban Area shall be preserved for urban agricultural uses to the greatest extent feasible.
65,Policy,Policy LUA-EGV-1.6: Urban Agricultural Land Use Conversion: To the greatest extent,"Policy LUA-EGV-1.6: Urban Agricultural Land Use Conversion: To the greatest extent feasible, any general plan amendment and/or rezone proposal in the Urban Area which results in a change of land use designation from agricultural to non-agricultural shall: 56 Eastern Eastern Goleta Valley Community Plan"
67,Objective,OBJECTIVE LUA-EGV-2: Support farms and agricultural businesses as a vital element in a,OBJECTIVE LUA-EGV-2: Support farms and agricultural businesses as a vital element in a sustainable mix of economic activity.
67,Policy,Policy LUA-EGV-2.1: Agricultural support facilities and other essential production and,"Policy LUA-EGV-2.1: Agricultural support facilities and other essential production and processing-related activities and facilities shall be encouraged, as needed to serve agricultural operations."
67,Policy,Policy LUA-EGV-2.2: The housing needs of agricultural employees shall be considered in,Policy LUA-EGV-2.2: The housing needs of agricultural employees shall be considered in land use planning.
67,Policy,"Policy LUA-EGV-2.3: Where appropriate and feasible, underutilized County-owned","Policy LUA-EGV-2.3: Where appropriate and feasible, underutilized County-owned property should be considered for leasing opportunities to agricultural operations and/or cultivation at a reasonable rate, especially if a land lease is supportive of start-up, demonstration, and educational farming operations."
67,Policy,Policy LUA-EGV-2.4: Allowable Urban Agriculture Uses: In the interest of sustaining,"Policy LUA-EGV-2.4: Allowable Urban Agriculture Uses: In the interest of sustaining and enhancing urban agricultural operations in the Urban Area of Eastern Goleta Valley, the County shall allow for a range of sustainable agricultural and agriculture-related uses on agriculturally-designated land in the Urban Area only to retain agricultural and farmland in the Urban Area of Eastern Goleta Valley and support agriculture-related businesses without impairing the function or character of onsite and adjacent land uses."
69,Goal,GOAL #3. THE COMMUNITY IS SAFE WITH EXEMPLARY PUBLIC SERVICES,GOAL #3. THE COMMUNITY IS SAFE WITH EXEMPLARY PUBLIC SERVICES AND SUSTAINABLE INFRASTRUCTURE TO MEET THE NEEDS OF EXISTING AND FUTURE RESIDENTS.
69,Objective,OBJECTIVE SF-EGV-1: Provide public services and facilities to adequately serve the,OBJECTIVE SF-EGV-1: Provide public services and facilities to adequately serve the community.
69,Policy,Policy SF-EGV-1.1: The County shall ensure that required public services and facilities,"Policy SF-EGV-1.1: The County shall ensure that required public services and facilities to meet the needs of development are constructed and operational concurrently with, or in advance of, the construction and operation of development."
70,Policy,Policy SF-EGV-1.2: The County shall encourage developers to use innovative measures,"Policy SF-EGV-1.2: The County shall encourage developers to use innovative measures to mitigate the public service impacts from their developments in addition to standard in-lieu fees, including, but not limited, to payment of development impact fees; direct public service facility improvements; creation of public service facility benefit assessment districts etc."
70,Objective,"OBJECTIVE SF-EGV-2: Ensure that land use, development, and operational decisions of","OBJECTIVE SF-EGV-2: Ensure that land use, development, and operational decisions of adjacent entities and districts do not diminish or undermine the viability of the public services and facilities of Eastern Goleta Valley."
70,Policy,"Policy SF-EGV-2.1: In the interest of coordinated regional planning, the County shall","Policy SF-EGV-2.1: In the interest of coordinated regional planning, the County shall continue to monitor and consider the planning, development and operations activities of adjacent entities to ensure that impacts to County public services and facilities are mitigated to the greatest extent feasible."
70,Policy,Policy SF-EGV-2.2: The County should strive to ensure adjacent jurisdictions fully,"Policy SF-EGV-2.2: The County should strive to ensure adjacent jurisdictions fully mitigate their public service and facility impacts, including the City of Goleta, City of Santa Barbara, and UCSB."
70,Policy,Policy SF-EGV-2.3: The County shall continue to review regional projects to evaluate,Policy SF-EGV-2.3: The County shall continue to review regional projects to evaluate public service and facility impacts to Eastern Goleta Valley.
70,Objective,"OBJECTIVE SF-EGV-3: Increase the utility, efficiency and sustainability of County public","OBJECTIVE SF-EGV-3: Increase the utility, efficiency and sustainability of County public services and facilities in Eastern Goleta Valley."
